anime_id,name,genre,type,episodes,rating,members
60,"Ginga Eiyuu Densetsu Gaiden: Senoku no Hoshi, Senoku no Hikari","Action, Military, Sci-Fi, Space",OVA,24,8.2,8621
61,"Gintama: Jump Festa 2014 Special","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Special,1,8.2,13764
62,"Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season","Action, Drama, Mecha, Sci-Fi, Space",TV,25,8.2,21210
63,"Dennou Coil","Adventure, Comedy, Drama, Mystery, Sci-Fi",TV,26,8.19,76860
64,"Eureka Seven","Adventure, Drama, Mecha, Romance, Sci-Fi",TV,50,8.19,239570
65,"Ghost in the Shell: Stand Alone Complex - The Laughing Man","Action, Mecha, Mystery, Police, Psychological, Sci-Fi, Seinen",Special,1,8.19,21435
66,"Interstella5555: The 5tory of The 5ecret 5tar 5ystem","Adventure, Drama, Music, Sci-Fi",Music,1,8.17,31464
67,"Mirai Shounen Conan","Adventure, Drama, Sci-Fi",TV,26,8.16,15557
68,"Toaru Kagaku no Railgun S","Action, Sci-Fi, Super Power",TV,24,8.16,137105
69,"Akira","Action, Adventure, Horror, Military, Sci-Fi, Supernatural",Movie,1,8.15,215897
70,"Paprika","Fantasy, Horror, Mystery, Psychological, Sci-Fi, Thriller",Movie,1,8.15,163308
71,"Aria The OVA: Arietta","Fantasy, Sci-Fi, Shounen, Slice of Life",OVA,1,8.13,20629
72,"Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi","Action, Comedy, Historical, Mecha, Parody, Samurai, Sci-Fi, Shounen",Special,1,8.13,29331
73,"Mobile Suit Gundam: The 08th MS Team","Adventure, Drama, Mecha, Military, Romance, Sci-Fi",OVA,12,8.13,34177
74,"Wolf&#039;s Rain OVA","Adventure, Drama, Psychological, Sci-Fi, Supernatural",OVA,4,8.13,37679
75,"Aoki Hagane no Arpeggio: Ars Nova Cadenza","Action, Sci-Fi, Seinen",Movie,1,8.12,12353
76,"Ghost in the Shell 2.0","Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,8.12,51789
77,"Ghost in the Shell: Stand Alone Complex 2nd GIG - Individual Eleven","Action, Mecha, Sci-Fi",Special,1,8.12,16614
78,"Ginga Sengoku Gunyuuden Rai","Adventure, Romance, Sci-Fi, Shounen, Space",TV,52,8.12,5308
79,"Stand By Me Doraemon","Comedy, Kids, Sci-Fi, Shounen",Movie,1,8.12,5712
80,"Ginga Eiyuu Densetsu Gaiden: Rasen Meikyuu","Drama, Military, Sci-Fi, Space",OVA,28,8.1,7712
81,"Darker than Black: Kuro no Keiyakusha Gaiden","Action, Mystery, Sci-Fi, Super Power",Special,4,8.09,136135
82,"Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai","Action, Historical, Military, Sci-Fi, Space",Movie,1,8.09,15069
83,"Hybrid Child","Drama, Historical, Romance, Sci-Fi, Shounen Ai",OVA,4,8.09,26036
84,"Macross: Do You Remember Love?","Action, Mecha, Military, Music, Romance, Sci-Fi, Space",Movie,1,8.09,19240
85,"Trigun: Badlands Rumble","Action, Comedy, Sci-Fi",Movie,1,8.08,68181
86,"Macross","Action, Mecha, Military, Music, Romance, Sci-Fi, Space",TV,36,8.07,44157
87,"Terra e... (TV)","Action, Drama, Military, Sci-Fi, Space",TV,24,8.07,36941
88,"FLCL","Action, Comedy, Dementia, Mecha, Parody, Sci-Fi",OVA,6,8.06,305165
89,"Macross F Movie 2: Sayonara no Tsubasa","Action, Mecha, Military, Music, Romance, Sci-Fi, Space",Movie,1,8.06,17826
90,"Suzumiya Haruhi no Yuuutsu","Comedy, Mystery, Parody, School, Sci-Fi, Slice of Life",TV,14,8.06,428569
91,"Ergo Proxy","Mystery, Psychological, Sci-Fi",TV,23,8.03,265005
92,"Higashi no Eden","Action, Comedy, Drama, Mystery, Romance, Sci-Fi, Thriller",TV,11,8.03,276593
93,"Mobile Suit Zeta Gundam","Drama, Mecha, Military, Sci-Fi, Space",TV,50,8.03,28959
94,"Saint Seiya","Adventure, Fantasy, Sci-Fi, Shounen",TV,114,8.03,70559
95,"Macross F","Action, Mecha, Military, Music, Romance, Sci-Fi, Space",TV,25,8.02,95551
96,"Giant Robo the Animation: Chikyuu ga Seishi Suru Hi","Action, Mecha, Sci-Fi, Shounen, Super Power",OVA,7,8,12283
97,"Mobile Suit Gundam Thunderbolt","Action, Drama, Mecha, Military, Sci-Fi, Space",ONA,4,8,14419
98,"Hokuto no Ken","Action, Drama, Martial Arts, Sci-Fi, Shounen",TV,109,7.99,40271
99,"Serial Experiments Lain","Dementia, Drama, Mystery, Psychological, Sci-Fi, Supernatural",TV,13,7.99,215829
100,"Gundam Build Fighters","Action, Mecha, Sci-Fi",TV,25,7.98,31606
101,"Seihou Bukyou Outlaw Star","Action, Adventure, Comedy, Sci-Fi, Space",TV,24,7.98,78600
102,"Gungrave","Action, Drama, Sci-Fi, Seinen, Super Power",TV,26,7.97,95825
103,"Musekinin Kanchou Tylor","Comedy, Military, Parody, Sci-Fi, Space",TV,26,7.97,19841
104,"Saint Seiya: Meiou Hades Meikai-hen","Action, Adventure, Demons, Fantasy, Sci-Fi, Shounen, Super Power",OVA,12,7.97,21240
105,"Seikai no Senki II","Action, Military, Romance, Sci-Fi, Space",TV,10,7.97,13888
106,"Top wo Nerae! Gunbuster","Action, Comedy, Drama, Mecha, Military, Sci-Fi, Shounen, Space",OVA,6,7.97,51724
107,"Mobile Suit Gundam: Iron-Blooded Orphans","Action, Drama, Mecha, Sci-Fi, Space",TV,25,7.96,60525
108,"Yuusha-Ou GaoGaiGar","Adventure, Mecha, Sci-Fi, Shounen",TV,49,7.96,10031
109,"Plastic Memories","Drama, Romance, Sci-Fi",TV,13,7.95,213493
110,"Psycho-Pass Movie","Action, Military, Police, Sci-Fi",Movie,1,7.95,94677
111,"Sidonia no Kishi: Daikyuu Wakusei Seneki","Action, Mecha, Sci-Fi, Seinen, Space",TV,12,7.95,57665
112,"Vampire Hunter D (2000)","Action, Drama, Fantasy, Horror, Romance, Sci-Fi, Vampire",Movie,1,7.95,68229
113,"Last Exile","Action, Adventure, Sci-Fi",TV,26,7.94,104193
114,"Mobile Suit Gundam Wing: Endless Waltz Movie","Action, Drama, Mecha, Military, Sci-Fi, Space",Movie,1,7.94,35711
115,"Ghost in the Shell 2: Innocence","Mecha, Military, Police, Psychological, Sci-Fi",Movie,1,7.93,85714
116,"Keroro Gunsou","Comedy, Sci-Fi, Shounen",TV,358,7.93,31632
117,"Macross F Movie 1: Itsuwari no Utahime","Action, Mecha, Military, Music, Romance, Sci-Fi, Space",Movie,1,7.93,20637
118,"Mobile Suit Gundam Seed","Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,50,7.93,96973
119,"Saint Seiya: The Hades Chapter Sanctuary - Yomigaerishi Gold Saint-tachi no Shinwa","Adventure, Sci-Fi, Shounen",Special,2,7.93,4975
120,"To LOVE-Ru Darkness 2nd Specials","Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen",Special,2,7.93,22487
121,"Uchuu Senkan Yamato 2199: Hoshimeguru Hakobune","Action, Drama, Military, Sci-Fi, Space",Movie,1,7.93,5431
122,"Wolf&#039;s Rain","Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi",TV,26,7.93,171863
123,"Ghost in the Shell: Stand Alone Complex - Solid State Society 3D","Mecha, Military, Mystery, Police, Sci-Fi, Seinen",Movie,1,7.91,7515
124,"Mobile Suit Gundam Thunderbolt: December Sky","Action, Drama, Mecha, Military, Sci-Fi, Space",Movie,1,7.92,2833
125,"To LOVE-Ru Darkness 2nd OVA","Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen",OVA,3,7.91,18575
126,"Densetsu Kyojin Ideon: Hatsudou-hen","Drama, Mecha, Sci-Fi, Space",Movie,1,7.9,2963
127,"Ginga Tetsudou 999","Adventure, Drama, Sci-Fi, Space",TV,113,7.9,12672
128,"Kumo no Mukou, Yakusoku no Basho","Drama, Military, Romance, Sci-Fi",Movie,1,7.89,103975
129,"Mobile Suit Gundam","Action, Mecha, Military, Sci-Fi, Space",TV,43,7.89,51566
130,"Mobile Suit Gundam III: Encounters in Space","Action, Adventure, Drama, Mecha, Military, Sci-Fi, Space",Movie,1,7.89,11343
131,"Urusei Yatsura Movie 2: Beautiful Dreamer","Action, Adventure, Comedy, Drama, Romance, Sci-Fi",Movie,1,7.89,5663
132,"Mobile Suit Gundam Wing","Action, Drama, Mecha, Military, Sci-Fi, Space",TV,49,7.87,86001
133,"Mobile Suit Gundam Wing: Endless Waltz","Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,3,7.87,28485
134,"Sidonia no Kishi","Action, Mecha, Sci-Fi, Seinen, Space",TV,12,7.87,118341
135,"Sora no Otoshimono: Tokeijikake no Angeloid","Comedy, Drama, Ecchi, Harem, Romance, Sci-Fi, Shounen, Supernatural",Movie,1,7.87,70391
136,"Soukou Kihei Votoms","Action, Drama, Mecha, Military, Sci-Fi, Space",TV,52,7.87,9008
137,"Toaru Kagaku no Railgun","Action, Sci-Fi, Super Power",TV,24,7.87,231079
138,"Uchuu Kaizoku Captain Harlock","Action, Adventure, Drama, Sci-Fi, Seinen, Space",TV,42,7.87,14869
139,"Macross F: Close Encounter - Deculture Edition","Action, Mecha, Military, Music, Sci-Fi, Space",Special,1,7.86,8911
140,"One Punch Man Specials","Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",Special,6,7.86,75502
141,"Seikai no Senki","Action, Military, Romance, Sci-Fi, Space",TV,13,7.86,18580
142,"Sora no Otoshimono: Forte","Comedy, Ecchi, Harem, Romance, Sci-Fi, Shounen, Supernatural",TV,12,7.86,146697
143,"Space☆Dandy","Comedy, Sci-Fi, Space",TV,13,7.86,123529
144,"Mobile Suit Gundam 0080: War in the Pocket","Adventure, Drama, Mecha, Military, Sci-Fi, Space",OVA,6,7.85,22609
145,"One Punch Man: Road to Hero","Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",OVA,1,7.85,94839
146,"AKB0048: Next Stage","Music, Sci-Fi",TV,13,7.84,22302
147,"Change!! Getter Robo: Sekai Saigo no Hi","Action, Adventure, Horror, Mecha, Psychological, Sci-Fi, Shounen",OVA,13,7.84,5606
148,"Memories","Drama, Horror, Psychological, Sci-Fi",Movie,3,7.84,38643
149,"Seikai no Senki III","Action, Military, Romance, Sci-Fi, Space",OVA,2,7.84,11044
150,"Space Cobra","Action, Adventure, Sci-Fi, Space",TV,31,7.84,6919
151,"Toaru Majutsu no Index II","Action, Magic, Sci-Fi, Super Power",TV,24,7.84,184520
152,"Tsuritama","Comedy, Sci-Fi, Slice of Life, Sports",TV,12,7.84,90625
153,"Mobile Police Patlabor 2: The Movie","Drama, Mecha, Mystery, Police, Sci-Fi",Movie,1,7.83,11957
154,"Seikai no Monshou","Action, Military, Romance, Sci-Fi, Space",TV,13,7.83,26379
155,"Tetsuwan Birdy Decode:02","Action, Comedy, Sci-Fi",TV,12,7.83,29622
156,"Bokurano","Drama, Mecha, Psychological, Sci-Fi",TV,24,7.82,81408
157,"Bounen no Xamdou","Action, Military, Sci-Fi",ONA,26,7.82,79026
158,"Macross Plus","Drama, Mecha, Military, Romance, Sci-Fi, Space",OVA,4,7.82,23138
159,"Macross Plus Movie Edition","Action, Adventure, Mecha, Military, Romance, Sci-Fi, Space",Movie,1,7.82,8405
160,"To LOVE-Ru Darkness","Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen",TV,12,7.82,135929
161,"To LOVE-Ru Darkness OVA","Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen",OVA,6,7.82,57166
162,"Daa! Daa! Daa!","Comedy, Sci-Fi, Shoujo",TV,78,7.81,12673
163,"Digimon Adventure: Bokura no War Game!","Adventure, Comedy, Kids, Sci-Fi",Movie,1,7.81,37078
164,"Full Metal Panic!","Action, Comedy, Mecha, Military, Sci-Fi",TV,24,7.81,256325
165,"Guilty Crown","Action, Drama, Sci-Fi, Super Power",TV,22,7.81,460959
166,"Ima, Soko ni Iru Boku","Adventure, Drama, Fantasy, Military, Sci-Fi",TV,13,7.81,56839
167,"Mobile Suit Gundam: Char&#039;s Counterattack","Drama, Mecha, Military, Sci-Fi, Space",Movie,1,7.81,19258
168,"Top wo Nerae 2! Diebuster","Action, Comedy, Mecha, Sci-Fi, Space",OVA,6,7.81,38691
169,"To LOVE-Ru Darkness 2nd","Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen",TV,12,7.8,73909
170,"Aria The Animation","Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13,7.79,76913
171,"Orange","Drama, Romance, School, Sci-Fi, Shoujo",TV,13,7.78,165358
172,"R.O.D OVA","Action, Adventure, Historical, Magic, Mystery, Sci-Fi",OVA,3,7.78,41701
173,"Tenchi Muyou! Ryououki 2nd Season","Action, Comedy, Harem, Sci-Fi, Shounen, Space",OVA,6,7.78,15837
174,"Texhnolyze","Action, Drama, Psychological, Sci-Fi",TV,22,7.78,95859
175,"Urusei Yatsura","Action, Adventure, Comedy, Drama, Romance, Sci-Fi",TV,195,7.78,23020
176,"Utawarerumono","Action, Drama, Fantasy, Sci-Fi",TV,26,7.78,91034
177,"Mobile Suit Gundam 00 Special Edition","Action, Drama, Mecha, Military, Sci-Fi",OVA,3,7.77,7087
178,"Tenchi Muyou! Ryououki","Action, Comedy, Sci-Fi, Shounen, Space",OVA,6,7.77,25902
179,"Doraemon (1979)","Adventure, Comedy, Fantasy, Kids, Sci-Fi, Shounen",TV,1787,7.76,14233
180,"Ginga Tetsudou 999 (Movie)","Adventure, Drama, Fantasy, Sci-Fi, Space",Movie,1,7.76,7237
181,"Mahouka Koukou no Rettousei","Magic, Romance, School, Sci-Fi, Supernatural",TV,26,7.76,285317
182,"No.6","Action, Sci-Fi",TV,11,7.76,168017
183,"Turn A Gundam","Action, Adventure, Drama, Mecha, Military, Sci-Fi, Space",TV,50,7.76,20056
184,"Dragon Ball Z Special 1: Tatta Hitori no Saishuu Kessen","Adventure, Comedy, Fantasy, Sci-Fi, Shounen",Special,1,7.75,46276
185,"World Trigger","Action, School, Sci-Fi, Shounen, Supernatural",TV,73,7.75,106872
186,"Yuusha-Ou GaoGaiGar Final Grand Glorious Gathering","Action, Mecha, Sci-Fi, Super Power",TV,12,7.75,1780
187,"Hal","Romance, Sci-Fi, Shoujo",Movie,1,7.74,50812
188,"Noein: Mou Hitori no Kimi e","Adventure, Drama, Sci-Fi, Slice of Life",TV,24,7.74,56244
189,"Soukyuu no Fafner: Dead Aggressor - Exodus 2nd Season","Action, Drama, Mecha, Military, Sci-Fi",TV,13,7.74,6787
190,"Taiyou no Ko Esteban","Adventure, Historical, Sci-Fi",TV,39,7.74,5424
191,"Flip Flappers","Comedy, Sci-Fi",TV,13,7.73,40945
192,"Uchuu Senkan Yamato","Action, Adventure, Drama, Military, Sci-Fi, Space",TV,26,7.73,10688
193,"Daicon Opening Animations","Action, Adventure, Mecha, Music, Sci-Fi",Special,2,7.72,7174
194,"Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta","Adventure, Comedy, Fantasy, Sci-Fi, Shounen",Movie,1,7.72,56994
195,"Future GPX Cyber Formula Sin","Drama, Sci-Fi, Shounen, Sports",OVA,5,7.72,1070
196,"Kyoukaisenjou no Horizon II","Action, Fantasy, Sci-Fi",TV,13,7.72,46781
197,"Mobile Police Patlabor: On Television","Comedy, Mecha, Police, Sci-Fi",TV,47,7.72,16130
198,"Mujin Wakusei Survive","Action, Adventure, Fantasy, Sci-Fi, Slice of Life",TV,52,7.72,11684
199,"Ouritsu Uchuugun: Honneamise no Tsubasa","Action, Drama, Military, Sci-Fi, Space",Movie,1,7.72,18469
200,"Urusei Yatsura Movie 5: Final","Action, Adventure, Comedy, Drama, Romance, Sci-Fi",Movie,1,7.72,2783
201,"Evangelion: 3.0 You Can (Not) Redo","Action, Mecha, Sci-Fi",Movie,1,7.71,135318
202,"Inazuma Eleven Go: Kyuukyoku no Kizuna Gryphon","Sci-Fi, Shounen, Sports",Movie,1,7.71,4535
203,"Toaru Majutsu no Index: Endymion no Kiseki","Action, Magic, Sci-Fi, Super Power",Movie,1,7.71,54873
204,"Ano Natsu de Matteru","Comedy, Drama, Romance, Sci-Fi, Slice of Life",TV,12,7.7,169718
205,"Final Fantasy VII: Advent Children - Venice Film Festival Footage","Action, Drama, Fantasy, Sci-Fi",Movie,1,7.7,6498
206,"Future GPX Cyber Formula Zero","Drama, Sci-Fi, Shounen, Sports",OVA,8,7.7,1113
207,"Ghost in the Shell: Arise - Border:2 Ghost Whispers","Mecha, Police, Psychological, Sci-Fi",Movie,1,7.7,24880
208,"Strike Witches Movie","Action, Ecchi, Magic, Military, Sci-Fi",Movie,1,7.7,23856
209,"Waga Seishun no Arcadia","Action, Adventure, Drama, Sci-Fi, Space",Movie,1,7.7,4415
210,"Macross Zero","Adventure, Mecha, Military, Sci-Fi, Shounen",OVA,5,7.69,23568
211,"Toaru Majutsu no Index","Action, Magic, Sci-Fi, Super Power",TV,24,7.69,313114
212,"Btooom!","Action, Psychological, Sci-Fi, Seinen",TV,12,7.68,329561
213,"Dragon Ball Kai: Mirai ni Heiwa wo! Goku no Tamashii yo Eien ni","Action, Comedy, Fantasy, Sci-Fi, Shounen, Super Power",Special,1,7.68,17166
214,"Persona 4 the Animation","Adventure, Mystery, School, Sci-Fi, Super Power, Supernatural",TV,25,7.68,134942
215,"Sora no Otoshimono","Comedy, Ecchi, Harem, Romance, Sci-Fi, Shounen, Supernatural",TV,13,7.68,227681
216,"Fantastic Children","Adventure, Fantasy, Mystery, Romance, Sci-Fi",TV,26,7.67,17773
217,"Ghost in the Shell (2015)","Action, Mecha, Police, Psychological, Sci-Fi",Movie,1,7.67,19872
218,"Haiyore! Nyaruko-san F","Comedy, Parody, Romance, Sci-Fi",OVA,1,7.67,19620
219,"Kiznaiver","Drama, Sci-Fi",TV,12,7.67,197912
220,"Tatakae! Chou Robot Seimeitai Transformers","Adventure, Mecha, Sci-Fi, Shounen",TV,98,7.67,5652
221,"Aldnoah.Zero","Action, Mecha, Sci-Fi",TV,12,7.66,244193
222,"Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita","Action, Mecha, Military, Sci-Fi",Movie,1,7.66,91105
223,"Heroic Age","Action, Mecha, Military, Sci-Fi, Space",TV,26,7.66,62530
224,"Keroro Gunsou Movie 3: Tenkuu Daikessen de Arimasu!","Comedy, Sci-Fi, Shounen",Movie,1,7.66,2430
225,"Mobile Suit Gundam Wing: Operation Meteor","Action, Adventure, Drama, Mecha, Military, Psychological, Sci-Fi, Space",OVA,4,7.66,6768
226,"Plawres Sanshirou","Adventure, Mecha, School, Sci-Fi, Shounen, Sports",TV,37,7.66,1718
227,"UFO Robo Grendizer","Mecha, Sci-Fi, Shounen",TV,74,7.66,4381
228,"Darker than Black: Kuro no Keiyakusha Special","Comedy, Parody, Sci-Fi",Special,1,7.65,87609
229,"Fushigi no Umi no Nadia","Adventure, Comedy, Historical, Romance, Sci-Fi",TV,39,7.65,24229
230,"Future GPX Cyber Formula Saga","Drama, Sci-Fi, Shounen, Sports",OVA,8,7.64,1040
231,"Ghost in the Shell: Arise - Border:1 Ghost Pain","Mecha, Police, Psychological, Sci-Fi",Movie,1,7.64,31747
232,"R.O.D the TV","Action, Adventure, Comedy, Drama, Sci-Fi, Super Power",TV,26,7.64,47053
233,"Suisei no Gargantia","Action, Adventure, Mecha, Sci-Fi",TV,13,7.64,170754
234,"Mardock Scramble: The First Compression","Action, Psychological, Sci-Fi",Movie,1,7.63,40698
235,"Sora no Otoshimono: Project Pink","Comedy, Ecchi, Harem, Sci-Fi, Shounen, Supernatural",OVA,1,7.63,61903
236,"Uchuu Senkan Yamato 2","Action, Adventure, Drama, Military, Sci-Fi, Space",TV,26,7.63,3461
237,"Accel World","Action, Game, Romance, School, Sci-Fi",TV,24,7.62,324284
238,"Darker than Black: Ryuusei no Gemini","Action, Mystery, Sci-Fi, Super Power",TV,12,7.62,222243
239,"Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen","Adventure, Comedy, Fantasy, Sci-Fi, Shounen",Movie,1,7.62,65953
240,"Metropolis","Adventure, Drama, Police, Romance, Sci-Fi, Shounen",Movie,1,7.62,44030
241,"Mobile Fighter G Gundam","Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",TV,49,7.62,36338
242,"So Ra No Wo To Specials","Military, Music, Sci-Fi, Slice of Life",Special,2,7.62,16491
243,"Yuusha Keisatsu J-Decker","Action, Adventure, Mecha, Police, Sci-Fi",TV,48,7.62,1116
244,"Casshern Sins","Action, Adventure, Drama, Psychological, Sci-Fi",TV,24,7.61,80307
245,"Digimon Adventure Movie","Action, Fantasy, Kids, Sci-Fi",Movie,1,7.61,60753
246,"Freedom","Action, Adventure, Sci-Fi",OVA,7,7.61,13918
247,"Mobile Police Patlabor: The New Files","Comedy, Mecha, Police, Sci-Fi",OVA,16,7.61,3952
